Nome do Produto,Categoria do Produto,Preço do Produto (R$),Filial,Quantidade em Estoque,Data da Venda
Sombra de olhos,Roupas,63.23,Filial 6,1,Indisponível
Batom líquido,Eletrodomésticos,12.36,Filial 6,69,Indisponível
Sombra de olhos,Eletrônicos,97.14,Filial 3,22,Indisponível
Batom líquido,Roupas,71.12,Filial 10,82,Indisponível
Delineador líquido,Eletrônicos,30.23,Filial 4,90,Indisponível
Máscara de cílios,Alimentos,16.7,Filial 6,8,Indisponível
Lápis de sobrancelha,Roupas,59.55,Filial 8,21,Indisponível
Sombra de olhos,Roupas,16.73,Filial 9,63,Indisponível
Sombra de olhos,Roupas,30.13,Filial 9,64,Indisponível
Base líquida,Roupas,95.6,Filial 10,93,Indisponível
Pó compacto,Eletrodomésticos,77.67,Filial 7,11,Indisponível
Máscara de cílios,Eletrodomésticos,53.5,Filial 6,2,Indisponível
Pó compacto,Eletrônicos,33.88,Filial 10,24,Indisponível
Máscara de cílios,Eletrodomésticos,81.01,Filial 9,85,Indisponível
Sombra de olhos,Eletrônicos,99.31,Filial 1,74,Indisponível
Pó compacto,Alimentos,24.92,Filial 2,9,Indisponível
Batom líquido,Eletrodomésticos,47.94,Filial 10,100,Indisponível
Delineador líquido,Alimentos,88.01,Filial 1,73,Indisponível
Blush em pó,Eletrodomésticos,13.07,Filial 5,35,Indisponível
Blush em pó,Roupas,28.89,Filial 8,69,Indisponível
Máscara de cílios,Alimentos,91.33,Filial 1,76,Indisponível
Base líquida,Eletrodomésticos,91.39,Filial 7,1,Indisponível
Lápis de sobrancelha,Eletrodomésticos,11.46,Filial 2,28,Indisponível
Delineador líquido,Alimentos,92.1,Filial 3,37,Indisponível
Delineador líquido,Eletrodomésticos,75.25,Filial 10,30,Indisponível
Máscara de cílios,Eletrodomésticos,6.76,Filial 8,90,Indisponível
Pó compacto,Roupas,55.63,Filial 9,34,Indisponível
Batom líquido,Eletrodomésticos,93.76,Filial 10,6,Indisponível
Batom matte,Eletrônicos,42.37,Filial 4,79,Indisponível
Base líquida,Eletrodomésticos,9.3,Filial 9,70,Indisponível
Máscara de cílios,Eletrodomésticos,72.66,Filial 5,80,Indisponível
Sombra de olhos,Eletrônicos,79.29,Filial 7,43,Indisponível
Pó compacto,Roupas,84.59,Filial 2,41,Indisponível
Máscara de cílios,Eletrônicos,41.25,Filial 5,11,Indisponível
Lápis de sobrancelha,Eletrônicos,74.62,Filial 3,43,Indisponível
Delineador líquido,Roupas,73.53,Filial 1,64,Indisponível
Delineador líquido,Alimentos,80.44,Filial 6,58,Indisponível
Máscara de cílios,Eletrodomésticos,52.5,Filial 3,62,Indisponível
Máscara de cílios,Eletrodomésticos,73.62,Filial 3,9,Indisponível
Sombra de olhos,Eletrônicos,97.28,Filial 1,93,Indisponível
Delineador líquido,Roupas,9.67,Filial 6,45,Indisponível
Corretivo,Eletrônicos,29.5,Filial 9,79,Indisponível
Base líquida,Eletrônicos,98.09,Filial 9,73,Indisponível
Batom matte,Roupas,12.34,Filial 8,6,Indisponível
Batom líquido,Alimentos,70.82,Filial 1,52,Indisponível
Base líquida,Alimentos,45.25,Filial 9,9,Indisponível
Blush em pó,Roupas,20.94,Filial 7,27,Indisponível
Batom matte,Eletrodomésticos,23.3,Filial 4,65,Indisponível
Base líquida,Eletrodomésticos,4.43,Filial 10,48,Indisponível
Delineador líquido,Roupas,3.25,Filial 2,8,Indisponível
Lápis de sobrancelha,Alimentos,22.23,Filial 4,64,Indisponível
Blush em pó,Eletrodomésticos,49.14,Filial 9,56,Indisponível
Batom matte,Eletrodomésticos,70.73,Filial 5,60,Indisponível
Máscara de cílios,Eletrodomésticos,27.84,Filial 1,4,Indisponível
Base líquida,Alimentos,14.54,Filial 6,85,Indisponível
Blush em pó,Eletrodomésticos,94.32,Filial 5,88,Indisponível
Delineador líquido,Eletrônicos,31.31,Filial 7,69,Indisponível
Sombra de olhos,Alimentos,50.42,Filial 9,11,Indisponível
Base líquida,Eletrodomésticos,32.72,Filial 8,4,Indisponível
Lápis de sobrancelha,Eletrônicos,60.7,Filial 3,16,Indisponível
Lápis de sobrancelha,Eletrodomésticos,56.33,Filial 9,64,Indisponível
Pó compacto,Roupas,29.56,Filial 7,71,Indisponível
Sombra de olhos,Alimentos,61.9,Filial 6,80,Indisponível
Blush em pó,Eletrônicos,58.7,Filial 3,81,Indisponível
Batom líquido,Eletrônicos,83.04,Filial 1,32,Indisponível
Blush em pó,Alimentos,36.19,Filial 10,74,Indisponível
Corretivo,Eletrodomésticos,20.96,Filial 10,64,Indisponível
Máscara de cílios,Eletrodomésticos,81.54,Filial 7,33,Indisponível
Batom líquido,Roupas,79.94,Filial 6,77,Indisponível
Pó compacto,Roupas,21.01,Filial 6,62,Indisponível
Batom líquido,Roupas,99.06,Filial 9,83,Indisponível
Batom matte,Eletrônicos,2.86,Filial 9,24,Indisponível
Pó compacto,Eletrodomésticos,57.69,Filial 10,86,Indisponível
Sombra de olhos,Eletrodomésticos,96.06,Filial 10,55,Indisponível
Sombra de olhos,Alimentos,72.75,Filial 6,40,Indisponível
Blush em pó,Eletrônicos,58.59,Filial 2,98,Indisponível
Corretivo,Eletrônicos,68.26,Filial 5,9,Indisponível
Batom matte,Eletrodomésticos,40.99,Filial 4,21,Indisponível
Máscara de cílios,Alimentos,18.29,Filial 9,74,Indisponível
Máscara de cílios,Roupas,11.54,Filial 8,39,Indisponível
Sombra de olhos,Eletrônicos,49.76,Filial 1,58,Indisponível
Blush em pó,Eletrodomésticos,79.91,Filial 3,94,Indisponível
Pó compacto,Roupas,60.2,Filial 6,75,Indisponível
Máscara de cílios,Alimentos,44.27,Filial 8,10,Indisponível
Base líquida,Roupas,34.27,Filial 5,82,Indisponível
Lápis de sobrancelha,Roupas,80.71,Filial 2,67,Indisponível
Batom matte,Eletrodomésticos,56.92,Filial 2,77,Indisponível
Delineador líquido,Roupas,31.93,Filial 7,69,Indisponível
Máscara de cílios,Alimentos,37.94,Filial 7,91,Indisponível
Sombra de olhos,Eletrônicos,34.0,Filial 7,27,Indisponível
Batom líquido,Alimentos,48.03,Filial 7,48,Indisponível
Pó compacto,Alimentos,57.83,Filial 9,67,Indisponível
Pó compacto,Eletrônicos,62.13,Filial 9,95,Indisponível
Sombra de olhos,Roupas,76.35,Filial 8,91,Indisponível
Sombra de olhos,Alimentos,80.05,Filial 8,38,Indisponível
Pó compacto,Roupas,58.69,Filial 5,8,Indisponível
Delineador líquido,Eletrodomésticos,83.66,Filial 4,59,Indisponível
Corretivo,Eletrônicos,34.39,Filial 8,100,Indisponível
Blush em pó,Eletrônicos,14.21,Filial 1,63,Indisponível
Blush em pó,Roupas,49.56,Filial 4,91,Indisponível
Lápis de sobrancelha,Roupas,78.24,Filial 9,30,Indisponível
Blush em pó,Eletrônicos,28.8,Filial 4,52,Indisponível
Corretivo,Eletrônicos,78.54,Filial 6,41,Indisponível
Base líquida,Alimentos,21.17,Filial 5,60,Indisponível
Lápis de sobrancelha,Alimentos,98.55,Filial 9,87,Indisponível
Corretivo,Roupas,17.88,Filial 9,36,Indisponível
Delineador líquido,Alimentos,90.11,Filial 5,48,Indisponível
Pó compacto,Roupas,44.48,Filial 10,46,Indisponível
Corretivo,Alimentos,16.51,Filial 4,62,Indisponível
Base líquida,Alimentos,11.77,Filial 1,94,Indisponível
Batom matte,Alimentos,21.28,Filial 4,17,Indisponível
Blush em pó,Roupas,50.23,Filial 7,44,Indisponível
Batom líquido,Eletrodomésticos,78.38,Filial 3,27,Indisponível
Base líquida,Alimentos,96.98,Filial 9,81,Indisponível
Máscara de cílios,Eletrodomésticos,94.02,Filial 2,18,Indisponível
Pó compacto,Roupas,13.82,Filial 8,84,Indisponível
Blush em pó,Eletrônicos,54.71,Filial 1,31,Indisponível
Base líquida,Roupas,16.84,Filial 9,28,Indisponível
Blush em pó,Eletrodomésticos,49.52,Filial 6,30,Indisponível
Sombra de olhos,Alimentos,1.82,Filial 6,85,Indisponível
Base líquida,Eletrônicos,87.54,Filial 3,53,Indisponível
Batom líquido,Alimentos,62.75,Filial 8,30,Indisponível
Corretivo,Roupas,40.53,Filial 1,37,Indisponível
Corretivo,Eletrônicos,66.03,Filial 1,38,Indisponível
Sombra de olhos,Alimentos,30.9,Filial 2,85,Indisponível
Sombra de olhos,Alimentos,93.7,Filial 2,25,Indisponível
Batom matte,Eletrônicos,16.74,Filial 6,83,Indisponível
Máscara de cílios,Roupas,60.31,Filial 7,80,Indisponível
Lápis de sobrancelha,Roupas,41.18,Filial 5,96,Indisponível
Blush em pó,Roupas,33.48,Filial 1,41,Indisponível
Delineador líquido,Roupas,92.24,Filial 7,80,Indisponível
Corretivo,Eletrônicos,32.78,Filial 6,1,Indisponível
Batom matte,Roupas,26.54,Filial 6,88,Indisponível
Batom líquido,Roupas,32.29,Filial 1,97,Indisponível
Base líquida,Alimentos,31.38,Filial 1,14,Indisponível
Pó compacto,Roupas,14.42,Filial 9,24,Indisponível
Base líquida,Eletrônicos,23.39,Filial 7,46,Indisponível
Blush em pó,Eletrodomésticos,65.87,Filial 4,68,Indisponível
Batom líquido,Eletrônicos,89.08,Filial 5,35,Indisponível
Blush em pó,Eletrodomésticos,64.68,Filial 6,1,Indisponível
Máscara de cílios,Roupas,86.72,Filial 2,79,Indisponível
Blush em pó,Eletrodomésticos,59.82,Filial 6,91,Indisponível
Sombra de olhos,Alimentos,8.76,Filial 6,26,Indisponível
Delineador líquido,Roupas,84.32,Filial 10,95,Indisponível
Lápis de sobrancelha,Roupas,25.7,Filial 6,43,Indisponível
Lápis de sobrancelha,Alimentos,39.93,Filial 6,81,Indisponível
Máscara de cílios,Eletrônicos,73.88,Filial 5,24,Indisponível
Máscara de cílios,Roupas,11.54,Filial 3,50,Indisponível
Pó compacto,Roupas,38.19,Filial 2,23,Indisponível
Lápis de sobrancelha,Roupas,7.53,Filial 9,95,Indisponível
Máscara de cílios,Roupas,41.23,Filial 8,39,Indisponível
Pó compacto,Eletrodomésticos,63.61,Filial 3,67,Indisponível
Delineador líquido,Eletrodomésticos,77.48,Filial 1,53,Indisponível
Batom líquido,Eletrônicos,83.26,Filial 4,51,Indisponível
Batom líquido,Alimentos,5.28,Filial 9,2,Indisponível
Blush em pó,Eletrônicos,48.99,Filial 9,62,Indisponível
Máscara de cílios,Eletrodomésticos,95.5,Filial 7,77,Indisponível
Lápis de sobrancelha,Alimentos,69.71,Filial 9,85,Indisponível
Sombra de olhos,Eletrônicos,56.48,Filial 2,75,Indisponível
Lápis de sobrancelha,Eletrodomésticos,37.22,Filial 3,30,Indisponível
Pó compacto,Alimentos,38.99,Filial 7,50,Indisponível
Lápis de sobrancelha,Eletrônicos,93.42,Filial 2,91,Indisponível
Máscara de cílios,Alimentos,32.79,Filial 1,6,Indisponível
Batom líquido,Eletrodomésticos,28.41,Filial 10,43,Indisponível
Batom líquido,Alimentos,64.9,Filial 2,14,Indisponível
Batom matte,Alimentos,50.91,Filial 10,87,Indisponível
Corretivo,Eletrodomésticos,80.05,Filial 7,65,Indisponível
Máscara de cílios,Roupas,37.56,Filial 6,76,Indisponível
Delineador líquido,Roupas,4.43,Filial 3,22,Indisponível
Corretivo,Alimentos,57.22,Filial 10,58,Indisponível
Pó compacto,Eletrônicos,29.39,Filial 8,65,Indisponível
Máscara de cílios,Eletrodomésticos,52.55,Filial 4,40,Indisponível
Corretivo,Eletrônicos,51.19,Filial 1,64,Indisponível
Sombra de olhos,Eletrodomésticos,81.02,Filial 2,57,Indisponível
Delineador líquido,Eletrônicos,21.27,Filial 3,66,Indisponível
Máscara de cílios,Eletrônicos,30.74,Filial 10,92,Indisponível
Pó compacto,Alimentos,18.96,Filial 6,17,Indisponível
Delineador líquido,Eletrônicos,39.2,Filial 6,73,Indisponível
Lápis de sobrancelha,Eletrodomésticos,20.39,Filial 6,72,Indisponível
Máscara de cílios,Eletrodomésticos,51.51,Filial 3,55,Indisponível
Blush em pó,Eletrodomésticos,74.75,Filial 7,44,Indisponível
Lápis de sobrancelha,Alimentos,87.02,Filial 5,74,Indisponível
Lápis de sobrancelha,Alimentos,41.28,Filial 6,51,Indisponível
Base líquida,Eletrodomésticos,73.01,Filial 8,65,Indisponível
Delineador líquido,Eletrônicos,6.07,Filial 6,72,Indisponível
Pó compacto,Eletrônicos,15.8,Filial 7,69,Indisponível
Base líquida,Roupas,53.48,Filial 5,76,Indisponível
Batom líquido,Roupas,94.85,Filial 6,53,Indisponível
Base líquida,Alimentos,27.35,Filial 9,95,Indisponível
Batom líquido,Alimentos,21.71,Filial 2,82,Indisponível
Lápis de sobrancelha,Eletrônicos,33.12,Filial 4,43,Indisponível
Delineador líquido,Alimentos,57.82,Filial 10,91,Indisponível
Sombra de olhos,Alimentos,56.38,Filial 8,8,Indisponível
Batom matte,Roupas,6.13,Filial 4,73,Indisponível
Blush em pó,Eletrônicos,1.03,Filial 1,51,Indisponível
Sombra de olhos,Eletrônicos,87.61,Filial 4,64,Indisponível
Lápis de sobrancelha,Alimentos,81.64,Filial 7,85,Indisponível
Batom matte,Roupas,52.88,Filial 8,99,Indisponível
Sombra de olhos,Roupas,14.68,Filial 2,43,Indisponível
Batom líquido,Roupas,77.77,Filial 8,40,Indisponível
Base líquida,Roupas,58.75,Filial 2,4,Indisponível
Blush em pó,Eletrodomésticos,4.6,Filial 10,17,Indisponível
Blush em pó,Eletrônicos,68.5,Filial 2,42,Indisponível
Batom matte,Eletrônicos,27.68,Filial 7,42,Indisponível
Pó compacto,Roupas,7.06,Filial 6,24,Indisponível
Delineador líquido,Roupas,80.8,Filial 3,66,Indisponível
Lápis de sobrancelha,Alimentos,73.06,Filial 7,22,Indisponível
Delineador líquido,Roupas,32.34,Filial 9,80,Indisponível
Sombra de olhos,Alimentos,99.16,Filial 6,22,Indisponível
Máscara de cílios,Eletrodomésticos,63.18,Filial 10,56,Indisponível
Lápis de sobrancelha,Eletrodomésticos,2.36,Filial 6,2,Indisponível
Corretivo,Roupas,93.88,Filial 8,49,Indisponível
Delineador líquido,Eletrodomésticos,60.25,Filial 1,61,Indisponível
Base líquida,Eletrodomésticos,2.41,Filial 3,5,Indisponível
Máscara de cílios,Eletrônicos,29.09,Filial 8,33,Indisponível
Base líquida,Eletrodomésticos,80.7,Filial 2,10,Indisponível
Lápis de sobrancelha,Eletrônicos,15.2,Filial 7,15,Indisponível
Corretivo,Eletrodomésticos,22.22,Filial 3,99,Indisponível
Delineador líquido,Roupas,25.07,Filial 6,62,Indisponível
Corretivo,Alimentos,78.03,Filial 4,86,Indisponível
Delineador líquido,Eletrodomésticos,86.76,Filial 5,66,Indisponível
Batom líquido,Eletrônicos,73.99,Filial 6,83,Indisponível
Batom matte,Eletrônicos,56.21,Filial 2,17,Indisponível
Base líquida,Roupas,74.97,Filial 4,41,Indisponível
Lápis de sobrancelha,Alimentos,94.41,Filial 10,69,Indisponível
Blush em pó,Eletrodomésticos,43.57,Filial 5,70,Indisponível
Sombra de olhos,Roupas,6.08,Filial 3,73,Indisponível
Batom líquido,Eletrodomésticos,7.89,Filial 8,38,Indisponível
Corretivo,Eletrônicos,42.65,Filial 6,95,Indisponível
Base líquida,Alimentos,13.51,Filial 4,36,Indisponível
Delineador líquido,Eletrodomésticos,30.95,Filial 4,18,Indisponível
Base líquida,Roupas,23.74,Filial 5,15,Indisponível
Pó compacto,Alimentos,26.91,Filial 7,28,Indisponível
Máscara de cílios,Eletrônicos,77.73,Filial 10,52,Indisponível
Pó compacto,Eletrodomésticos,69.39,Filial 2,42,Indisponível
Blush em pó,Roupas,56.25,Filial 10,59,Indisponível
Máscara de cílios,Alimentos,96.92,Filial 1,10,Indisponível
Delineador líquido,Alimentos,61.53,Filial 2,51,Indisponível
Batom líquido,Eletrodomésticos,7.55,Filial 6,8,Indisponível
Lápis de sobrancelha,Eletrônicos,70.45,Filial 5,15,Indisponível
Base líquida,Alimentos,7.7,Filial 5,85,Indisponível
Pó compacto,Alimentos,84.75,Filial 7,77,Indisponível
Sombra de olhos,Eletrônicos,67.51,Filial 6,73,Indisponível
Corretivo,Alimentos,5.23,Filial 1,91,Indisponível
Blush em pó,Eletrônicos,48.89,Filial 6,35,Indisponível
Máscara de cílios,Eletrônicos,15.97,Filial 9,37,Indisponível
Batom matte,Eletrônicos,79.01,Filial 5,96,Indisponível
Sombra de olhos,Alimentos,81.58,Filial 10,70,Indisponível
Máscara de cílios,Roupas,94.88,Filial 8,5,Indisponível
Sombra de olhos,Eletrônicos,53.36,Filial 2,7,Indisponível
Sombra de olhos,Roupas,94.68,Filial 6,26,Indisponível
Lápis de sobrancelha,Eletrônicos,72.32,Filial 9,7,Indisponível
Sombra de olhos,Roupas,12.09,Filial 9,8,Indisponível
Corretivo,Alimentos,36.31,Filial 5,91,Indisponível
Sombra de olhos,Eletrodomésticos,44.24,Filial 6,89,Indisponível
Lápis de sobrancelha,Eletrodomésticos,14.91,Filial 9,87,Indisponível
Batom matte,Roupas,31.82,Filial 4,24,Indisponível
Pó compacto,Roupas,84.79,Filial 5,11,Indisponível
Batom líquido,Alimentos,39.5,Filial 1,48,Indisponível
Máscara de cílios,Roupas,46.11,Filial 7,81,Indisponível
Corretivo,Roupas,6.33,Filial 1,29,Indisponível
Pó compacto,Eletrônicos,14.72,Filial 9,83,Indisponível
Pó compacto,Alimentos,4.53,Filial 10,35,Indisponível
Base líquida,Roupas,9.4,Filial 6,13,Indisponível
Lápis de sobrancelha,Roupas,98.36,Filial 3,29,Indisponível
Base líquida,Roupas,81.94,Filial 8,72,Indisponível
Pó compacto,Alimentos,98.12,Filial 2,33,Indisponível
Delineador líquido,Eletrodomésticos,29.74,Filial 10,34,Indisponível
Lápis de sobrancelha,Alimentos,90.75,Filial 8,79,Indisponível
Sombra de olhos,Eletrônicos,29.42,Filial 4,84,Indisponível
Base líquida,Eletrônicos,26.3,Filial 3,23,Indisponível
Máscara de cílios,Eletrodomésticos,58.82,Filial 2,13,Indisponível
Batom matte,Eletrodomésticos,3.76,Filial 8,40,Indisponível
Pó compacto,Roupas,71.76,Filial 2,12,Indisponível
Batom líquido,Eletrodomésticos,46.67,Filial 9,22,Indisponível
Sombra de olhos,Alimentos,63.05,Filial 8,53,Indisponível
Batom matte,Eletrodomésticos,51.54,Filial 5,50,Indisponível
Lápis de sobrancelha,Alimentos,12.6,Filial 1,14,Indisponível
Base líquida,Alimentos,20.44,Filial 9,1,Indisponível
Lápis de sobrancelha,Eletrônicos,65.59,Filial 9,64,Indisponível
Sombra de olhos,Eletrodomésticos,26.49,Filial 1,18,Indisponível
Base líquida,Eletrodomésticos,39.91,Filial 1,70,Indisponível
Máscara de cílios,Eletrodomésticos,36.73,Filial 2,53,Indisponível
Delineador líquido,Roupas,42.24,Filial 2,26,Indisponível
Lápis de sobrancelha,Eletrônicos,97.39,Filial 5,1,Indisponível
Delineador líquido,Eletrônicos,64.91,Filial 1,52,Indisponível
Máscara de cílios,Eletrônicos,49.91,Filial 5,64,Indisponível
Lápis de sobrancelha,Eletrônicos,77.23,Filial 3,85,Indisponível
Batom líquido,Eletrodomésticos,30.56,Filial 8,56,Indisponível
Sombra de olhos,Eletrodomésticos,66.85,Filial 3,64,Indisponível
Delineador líquido,Eletrônicos,21.2,Filial 5,35,Indisponível
Batom líquido,Eletrônicos,7.31,Filial 3,8,Indisponível
Máscara de cílios,Alimentos,64.34,Filial 3,8,Indisponível
Pó compacto,Eletrodomésticos,52.5,Filial 6,37,Indisponível
Lápis de sobrancelha,Eletrodomésticos,4.9,Filial 2,7,Indisponível
Lápis de sobrancelha,Eletrônicos,26.63,Filial 3,2,Indisponível
Lápis de sobrancelha,Eletrodomésticos,17.25,Filial 9,41,Indisponível
Máscara de cílios,Eletrodomésticos,9.02,Filial 8,74,Indisponível
Blush em pó,Roupas,29.07,Filial 7,55,Indisponível
Batom matte,Roupas,60.44,Filial 3,88,Indisponível
Sombra de olhos,Roupas,46.11,Filial 4,2,Indisponível
Delineador líquido,Eletrônicos,46.35,Filial 7,89,Indisponível
Máscara de cílios,Eletrônicos,72.93,Filial 8,95,Indisponível
Base líquida,Eletrodomésticos,75.69,Filial 9,4,Indisponível
Lápis de sobrancelha,Roupas,12.06,Filial 2,31,Indisponível
Lápis de sobrancelha,Alimentos,31.4,Filial 7,66,Indisponível
Base líquida,Roupas,55.17,Filial 5,51,Indisponível
Blush em pó,Eletrodomésticos,98.59,Filial 2,10,Indisponível
Lápis de sobrancelha,Eletrodomésticos,2.6,Filial 4,91,Indisponível
Pó compacto,Roupas,59.43,Filial 2,14,Indisponível
Máscara de cílios,Eletrônicos,36.77,Filial 10,56,Indisponível
Batom líquido,Eletrônicos,23.41,Filial 2,14,Indisponível
Sombra de olhos,Eletrônicos,79.37,Filial 6,25,Indisponível
Lápis de sobrancelha,Eletrodomésticos,94.68,Filial 3,22,Indisponível
Delineador líquido,Roupas,91.87,Filial 9,63,Indisponível
Lápis de sobrancelha,Roupas,9.87,Filial 10,51,Indisponível
Sombra de olhos,Eletrônicos,47.87,Filial 6,75,Indisponível
Sombra de olhos,Eletrônicos,56.66,Filial 4,53,Indisponível
Pó compacto,Eletrodomésticos,88.04,Filial 2,42,Indisponível
Pó compacto,Roupas,71.42,Filial 3,98,Indisponível
Lápis de sobrancelha,Eletrônicos,76.3,Filial 3,34,Indisponível
Delineador líquido,Roupas,59.02,Filial 10,90,Indisponível
Lápis de sobrancelha,Eletrodomésticos,15.92,Filial 6,9,Indisponível
Máscara de cílios,Roupas,16.15,Filial 1,22,Indisponível
Lápis de sobrancelha,Roupas,70.08,Filial 2,56,Indisponível
Delineador líquido,Eletrodomésticos,53.23,Filial 8,33,Indisponível
Blush em pó,Eletrodomésticos,71.43,Filial 9,14,Indisponível
Máscara de cílios,Eletrodomésticos,42.78,Filial 9,30,Indisponível
Base líquida,Eletrônicos,65.77,Filial 3,46,Indisponível
Batom matte,Alimentos,27.57,Filial 1,58,Indisponível
Corretivo,Roupas,99.32,Filial 9,81,Indisponível
Lápis de sobrancelha,Roupas,85.7,Filial 10,24,Indisponível
Lápis de sobrancelha,Eletrônicos,91.23,Filial 10,30,Indisponível
Corretivo,Roupas,5.29,Filial 2,29,Indisponível
Lápis de sobrancelha,Eletrônicos,9.59,Filial 1,41,Indisponível
Pó compacto,Roupas,92.53,Filial 2,42,Indisponível
Sombra de olhos,Alimentos,99.45,Filial 5,78,Indisponível
Base líquida,Eletrônicos,21.51,Filial 6,67,Indisponível
Batom líquido,Roupas,4.06,Filial 9,12,Indisponível
Sombra de olhos,Alimentos,42.67,Filial 7,75,Indisponível
Corretivo,Eletrônicos,40.4,Filial 5,14,Indisponível
Máscara de cílios,Eletrônicos,46.91,Filial 5,44,Indisponível
Delineador líquido,Alimentos,38.6,Filial 4,76,Indisponível
Máscara de cílios,Alimentos,77.18,Filial 3,9,Indisponível
Máscara de cílios,Eletrodomésticos,31.81,Filial 5,85,Indisponível
Corretivo,Alimentos,14.24,Filial 9,9,Indisponível
Base líquida,Eletrodomésticos,27.99,Filial 4,34,Indisponível
Pó compacto,Eletrodomésticos,87.44,Filial 9,97,Indisponível
Batom matte,Eletrodomésticos,94.96,Filial 3,63,Indisponível
Batom líquido,Eletrônicos,90.9,Filial 6,32,Indisponível
Blush em pó,Alimentos,34.22,Filial 6,90,Indisponível
Blush em pó,Alimentos,29.81,Filial 1,22,Indisponível
Sombra de olhos,Roupas,51.72,Filial 6,6,Indisponível
Batom matte,Eletrodomésticos,30.82,Filial 8,45,Indisponível
Delineador líquido,Alimentos,12.67,Filial 7,6,Indisponível
Sombra de olhos,Eletrodomésticos,23.98,Filial 2,13,Indisponível
Batom líquido,Alimentos,30.98,Filial 10,37,Indisponível
Batom matte,Eletrodomésticos,28.58,Filial 7,68,Indisponível
Máscara de cílios,Eletrônicos,75.83,Filial 10,4,Indisponível
Corretivo,Alimentos,28.27,Filial 3,69,Indisponível
Delineador líquido,Eletrodomésticos,90.47,Filial 2,31,Indisponível
Delineador líquido,Alimentos,22.22,Filial 4,77,Indisponível
Sombra de olhos,Eletrônicos,56.18,Filial 8,72,Indisponível
Corretivo,Eletrônicos,13.68,Filial 1,59,Indisponível
Blush em pó,Alimentos,25.96,Filial 10,49,Indisponível
Corretivo,Eletrônicos,69.51,Filial 7,81,Indisponível
Máscara de cílios,Eletrônicos,6.6,Filial 9,63,Indisponível
Batom líquido,Alimentos,87.22,Filial 9,18,Indisponível
Blush em pó,Eletrônicos,56.72,Filial 5,67,Indisponível
Base líquida,Eletrônicos,67.46,Filial 5,32,Indisponível
Delineador líquido,Eletrodomésticos,6.29,Filial 3,94,Indisponível
Blush em pó,Alimentos,75.81,Filial 4,99,Indisponível
Blush em pó,Eletrônicos,51.78,Filial 10,55,Indisponível
Lápis de sobrancelha,Eletrônicos,68.43,Filial 2,58,Indisponível
Lápis de sobrancelha,Roupas,52.53,Filial 10,68,Indisponível
Delineador líquido,Eletrodomésticos,51.97,Filial 4,91,Indisponível
Sombra de olhos,Alimentos,24.06,Filial 3,83,Indisponível
Batom líquido,Alimentos,12.41,Filial 7,8,Indisponível
Blush em pó,Roupas,4.08,Filial 7,92,Indisponível
Pó compacto,Alimentos,24.79,Filial 6,87,Indisponível
Blush em pó,Eletrônicos,36.76,Filial 9,23,Indisponível
Batom líquido,Eletrônicos,19.22,Filial 8,90,Indisponível
Blush em pó,Eletrônicos,63.01,Filial 9,81,Indisponível
Sombra de olhos,Alimentos,16.06,Filial 4,37,Indisponível
Pó compacto,Eletrodomésticos,80.6,Filial 10,84,Indisponível
Corretivo,Alimentos,69.9,Filial 5,76,Indisponível
Corretivo,Alimentos,27.12,Filial 9,84,Indisponível
Corretivo,Eletrodomésticos,7.77,Filial 8,4,Indisponível
Máscara de cílios,Eletrônicos,11.24,Filial 5,86,Indisponível
Máscara de cílios,Eletrodomésticos,39.83,Filial 5,41,Indisponível
Delineador líquido,Eletrodomésticos,3.97,Filial 9,9,Indisponível
Corretivo,Alimentos,30.07,Filial 1,50,Indisponível
Pó compacto,Eletrodomésticos,66.59,Filial 5,11,Indisponível
Blush em pó,Alimentos,25.83,Filial 3,48,Indisponível
Delineador líquido,Eletrônicos,21.92,Filial 5,49,Indisponível
Corretivo,Eletrônicos,35.23,Filial 9,42,Indisponível
Pó compacto,Eletrônicos,22.28,Filial 3,7,Indisponível
Batom líquido,Eletrodomésticos,51.1,Filial 6,80,Indisponível
Sombra de olhos,Eletrodomésticos,61.89,Filial 1,81,Indisponível
Batom matte,Alimentos,19.69,Filial 8,50,Indisponível
Máscara de cílios,Roupas,89.17,Filial 9,81,Indisponível
Corretivo,Alimentos,41.59,Filial 1,14,Indisponível
Delineador líquido,Eletrônicos,14.67,Filial 2,19,Indisponível
Máscara de cílios,Roupas,55.76,Filial 8,31,Indisponível
Batom líquido,Eletrodomésticos,26.06,Filial 5,25,Indisponível
Corretivo,Alimentos,9.14,Filial 6,14,Indisponível
Sombra de olhos,Eletrodomésticos,64.64,Filial 8,14,Indisponível
Delineador líquido,Eletrodomésticos,57.87,Filial 1,96,Indisponível
Batom líquido,Roupas,69.1,Filial 3,20,Indisponível
Batom líquido,Alimentos,41.35,Filial 4,51,Indisponível
Sombra de olhos,Eletrodomésticos,97.46,Filial 7,43,Indisponível
Pó compacto,Eletrodomésticos,46.69,Filial 9,32,Indisponível
Base líquida,Roupas,79.47,Filial 1,62,Indisponível
Corretivo,Alimentos,18.53,Filial 4,97,Indisponível
Máscara de cílios,Alimentos,77.19,Filial 8,82,Indisponível
Corretivo,Eletrodomésticos,92.37,Filial 5,88,Indisponível
Corretivo,Eletrônicos,11.84,Filial 1,2,Indisponível
Lápis de sobrancelha,Roupas,65.18,Filial 4,43,Indisponível
Máscara de cílios,Roupas,2.81,Filial 4,35,Indisponível
